Codigo;ID_Zona;Latitud;Longitud
PJ021330;6400161;9.951755966;-75.08567534
PJ021429;6400161;9.94627121;-75.08758364
PJ021549;6400154;9.955327729;-75.08259818
PJ021982;6400154;9.951989439;-75.0804333
PJ013508;6400154;9.955353157;-75.07672012
PJ014512;6400154;9.956840169;-75.07917635
PJ014812;6400154;9.960278797;-75.08179117
PJ021348;6400161;9.9421758;-75.0892104
PJ021435;6400161;9.9507945;-75.0831267
PJ021768;6400161;9.94186623;-75.08947249
PJ021770;6400161;9.9473897;-75.08414184
PJ021771;6400154;9.953660735;-75.08050103
PJ021859;6400161;9.94823354;-75.08567731
PJ021769;6400161;9.944471;-75.08666278
PJ021802;6400161;9.94908263;-75.08171638
PJ021910;6400154;9.967906855;-75.08132312
PJ022068;6400154;9.956104094;-75.07835794
PJ022083;6400161;9.95338283;-75.08563515
PJ013795;6400161;9.947643237;-75.07671241
PJ014084;6400161;9.953227804;-75.08488175
PJ014704;6400154;9.95758361;-75.07960317
PJ014806;6400161;9.95082174;-75.08336663
PJ014809;6400161;9.951297274;-75.08257639
PJ014810;6400161;9.951353083;-75.08258075
PJ021200;6400161;9.951848388;-75.08333445
PJ021801;6400154;9.95199954;-75.08038431
PJ022128;6400154;9.95452614;-75.07642937
PH022418;6400162;10.38444605;-75.50269082
PH022419;6400162;10.38626269;-75.49960471
PH022423;6400156;10.40338392;-75.50182815
PH022425;6400161;10.39665956;-75.51678061
PH022433;6400159;10.40404877;-75.48110018
PH022434;6400159;10.4084898;-75.47770135
PH022437;6400154;10.41790288;-75.44284986
PH022446;6400154;10.31222581;-75.40206952
PH022454;6400161;10.3311186;-75.42700812
PH022456;6400159;10.4038175;-75.47154948
PH022457;6400159;9.96313163;-75.28290885
PH022460;6400159;9.965437;-75.28750427
PH022462;6400157;10.14002043;-75.22710621
PH022468;6400159;9.98214283;-75.29962165
PH022469;6400159;9.98552088;-75.30029094
PH022415;6400162;10.38338;-75.50454174
PH022424;6400159;10.40866092;-75.51611279
PH022426;6400157;10.39956362;-75.52056055
PH022427;6400154;10.41174848;-75.49031978
PH022436;6400154;10.42140319;-75.44530871
PH022440;6400162;10.53846159;-75.39400771
PH022441;6400162;10.54065673;-75.39306196
PH022442;6400154;10.31270118;-75.40566274
PH022448;6400159;10.4049256;-75.47279264
PH022451;6400159;10.40650092;-75.47195317
PH022463;6400162;10.25347924;-75.33682154
PH022465;6400162;10.26115734;-75.33657161
PH022420;6400156;10.40163577;-75.50355086
PH022422;6400154;10.38722595;-75.48951709
PH022429;6400159;10.41029353;-75.48442199
PH022435;6400159;10.40814477;-75.47688423
PH022439;6400157;10.60786733;-75.14646647
PH022444;6400154;10.30928396;-75.40344113
PH022447;6400154;10.31166742;-75.40279901
PH022453;6400159;10.40591756;-75.4700055
PH022455;6400157;10.41500501;-75.46356116
PH022461;6400159;9.97472699;-75.29450671
PH022416;6400156;10.40106216;-75.49576151
PH022417;6400161;10.39741308;-75.50882927
PH022421;6400162;10.38435128;-75.48882183
PH022428;6400156;10.4126161;-75.50097019
PH022430;6400156;10.4126077;-75.50415807
PH022431;6400159;10.41026312;-75.48302454
PH022432;6400159;10.40378649;-75.48058773
PH022438;6400154;10.41907527;-75.43843316
PH022443;6400156;10.38739189;-75.45961697
PH022445;6400154;10.30977182;-75.40296051
PH022449;6400159;10.40560362;-75.47259716
PH022450;6400156;10.38430057;-75.45603745
PH022452;6400159;10.40643164;-75.47145468
PH022458;6400159;9.989318949;-75.30446313
PH022459;6400159;9.96355296;-75.28750415
PH022464;6400159;9.97978173;-75.29944405
PH022466;6400161;9.95180134;-75.08562709
PH022467;6400157;10.13806459;-75.2274067
PH022470;6400159;9.98684413;-75.3035027
PH022471;6400156;10.34826654;-75.48932027
PH022486;6400156;10.36169328;-75.48272361
PH022487;6400156;10.36091724;-75.48033567
PH022496;6400156;10.39239576;-75.49880246
PH022497;6400156;10.39444039;-75.49647722
PH022498;6400156;10.39472557;-75.49738414
PH022499;6400156;10.39814804;-75.49937113
PH022506;6400156;10.38638231;-75.45855034
PH022475;6400154;10.36491004;-75.49247721
PH022478;6400154;10.3648807;-75.4923048
PH022479;6400154;10.3660163;-75.49108348
PH022481;6400154;10.36814719;-75.48943564
PH022484;6400154;10.37125001;-75.49320254
PH022490;6400154;10.37980935;-75.48511852
PH022491;6400154;10.38137591;-75.48393041
PH022500;6400154;10.38714767;-75.47993097
PH022502;6400154;10.42414169;-75.44462292
PH022503;6400154;10.4244014;-75.44488403
PH022504;6400154;10.42470779;-75.44508307
PH022505;6400154;10.42553127;-75.44391285
PH022494;6400153;10.41945579;-75.54501693
PH022495;6400153;10.42004138;-75.54525491
PH022507;6400159;10.40581382;-75.47387588
PH022508;6400159;10.40575948;-75.47388357
PH022509;6400159;10.41094323;-75.4715791
PH022510;6400159;10.26334711;-75.55541955
PH022512;6400159;10.28654577;-75.51626779
PH022492;6400159;10.42275706;-75.53318379
PH022472;6400159;10.24216915;-75.55461689
PH022473;6400159;10.24164126;-75.55382754
PH022474;6400159;10.24001504;-75.55771873
PH022483;6400157;10.37619851;-75.48848803
PH022485;6400157;10.37564742;-75.48643596
PH022488;6400157;10.37295701;-75.48446755
PH022476;6400157;10.37636498;-75.48670504
PH022477;6400157;10.37511065;-75.48766201
PH022493;6400157;10.39414914;-75.5221466
PH022513;6400157;10.37355919;-75.49119249
